family,genus,species,origin,extin,w,mtheta,lw,lh,ic1,ic2,ic3,fcirc,t,numcham,expans,height,length,fcangle,area,fcarea,clava,chamwl,keel,bidors,biven,biconvex,lobe,double,depth
Globotruncanidae,Marginotruncana,marianosi,93,91.5,0.885080689,57.6,1.081097534,1.755291452,62.57,58.1,52.13,89.29260034,165.51,6.5,0.986490734,414.82,728.13,85.47,382734.38,0.182294859,1.157059744,0.875256803,0.9922967,50.1,19.28,2.598547718,0.869612569,0,1
Hedbergellidae,Praeglobotruncana,delrioensis,99.6,92,2.405631275,63.79,1.056561716,2.087068374,69.57,70.83,50.97,91.52878855,148.84,5,1.156333884,174.92,365.07,70.4,73003.85,0.294985675,1.25453514,0.858302007,0.965213198,10.26,31.7,0.323659306,0.786512104,0,1
Hedbergellidae,Whiteinella,aumalensis,96.2,92.3,1.235082597,72.90666667,0.840865338,1.662179668,75.31,68.23,75.18,95.83914144,107.8,5,1.049195698,177.55,295.12,64.3,60508.65,0.323576877,1.179083877,1.03595239,0.940954693,16.66,50.86,0.327565867,0.892248374,0,3
Guembelitriidae,Guembelitria,cenomana,100,92.5,1.30074244,180,1.574740811,0.625022611,180,180,180,82.53959912,43.45,2,1.14050096,165.85,103.66,90,10931.74,0.350451987,1.458731206,1.030858826,0.943273663,90,90,1,0.695458567,0,0
Heterohelicidae,Lunatriella,spinifera,93.4,93,1.685358831,180,0.728949638,1.403538999,180,180,180,66.01519739,40.24,1,1.298213708,214.75,301.41,90,22275.34,0.497729328,3.032052084,1.096035237,0.995760767,90,90,1,0.514774399,0,0
Rotaliporidae,Rotalipora,globotruncanoides,99.6,93,1.844495912,54.85333333,1.157877082,2.229709788,58.23,52.64,53.69,89.84892541,139.88,7,1.096547895,284.62,634.62,59.99,261028.11,0.315724962,1.171984564,0.847417197,0.985002468,42.27,15.4,2.744805195,0.892791423,0,3
Rotaliporidae,Rotalipora,cushmani,95.33,93.5,1.104651196,55.2,1.051004797,2.007230228,56.93,54.06,54.61,91.43033541,144.72,6,1.014140644,403.86,810.64,83.72,461830.12,0.207196079,1.270418606,0.773732711,0.993819302,68.53,46.11,1.486228584,0.825062798,0,3
Rotaliporidae,Rotalipora,praemontsalvensis,97.5,93.5,1.590243251,65.54666667,0.93276927,1.742879305,72.77,60.95,62.92,95.41048847,149.44,6,1.079036106,322.3,561.73,90,205175.62,0.267061652,1.284301882,0.883569207,0.973059423,48.17,70.02,0.687946301,0.857029098,0,3
Planomalinidae,Planomalina,buxtorfi,105.6,93.5,3.334629887,49.23333333,0.81613513,3.035413405,67.88,41.58,38.24,89.87130114,180,9,1.170049697,134.13,407.14,60.36,96167.58,0.34024585,1.171683242,0.7136822,0.967081723,27.54,33.84,0.813829787,0.841304778,0,3
Rotaliporidae,Rotalipora,greenhornensis,96.2,93.7,2.147549639,43.73333333,1.170267522,1.827923699,54.48,38.42,38.3,93.77469205,118.63,8,1.118615549,300.39,549.09,66.1,203965.29,0.287392919,1.110961484,0.705838875,0.981728313,46.08,28.04,1.643366619,0.930066243,0,3
